Angle,Range,Intensity
135.32812262935008,0.0,1008.0
135.70312733554047,0.0,1008.0
136.06249090853152,0.0,1008.0
136.43749561472188,0.0,1008.0
136.81250032091228,0.0,1008.0
137.18749136672432,0.0,1008.0
137.56249607291468,0.0,1008.0
137.93750077910508,0.0,1008.0
138.31249182491712,0.0,1008.0
138.68749653110748,0.0,1008.0
139.04687376447689,0.0,1008.0
139.42187847066725,0.0,1008.0
139.7968695164793,0.0,1008.0
140.1718742226697,0.0,1008.0
140.54687892886005,0.0,1008.0
140.9218699746721,0.0,1008.0
141.2968746808625,0.0,1008.0
141.67187938705285,0.0,1008.0
142.03124296004393,0.0,1008.0
142.4062476662343,0.0,1008.0
142.78125237242466,0.0,1008.0
143.1562434182367,0.0,1008.0
143.5312481244271,0.0,1008.0
143.90625283061746,0.0,1008.0
144.2812438764295,0.0,1008.0
144.6562485826199,0.0,1008.0
145.0156258159893,0.0,1008.0
145.39061686180133,0.0,1008.0
145.7656215679917,0.0,1008.0
146.1406262741821,0.0,1008.0
146.51561731999413,0.0,1008.0
146.8906220261845,0.0,1008.0
147.2656267323749,0.0,1008.0
147.64061777818694,0.0,1008.0
147.9999950115563,0.0,1008.0
148.3593722449257,0.0,1008.0
148.73437695111608,0.0,1008.0
149.1093679969281,0.0,1008.0
149.4843727031185,0.0,1008.0
149.8437499364879,0.0,1008.0
150.21874098229995,0.0,1008.0
150.59374568849032,0.0,1008.0
150.9687503946807,0.0,1008.0
151.34374144049275,0.0,1008.0
151.70311867386212,0.0,1008.0
152.07812338005252,0.0,1008.0
152.45312808624288,0.0,1008.0
152.82811913205492,0.0,1008.0
153.20312383824532,0.0,1008.0
153.5625010716147,0.0,1008.0
153.93749211742673,0.0,1008.0
154.31249682361712,0.0,1008.0
154.6875015298075,0.0,1008.0
155.06249257561953,0.0,1008.0
155.42186980898893,0.0,1008.0
155.7968745151793,0.0,1008.0
156.17186556099136,0.0,1008.0
156.54687026718173,0.0,1008.0
156.9218749733721,0.0,1008.0
157.2812522067415,0.0,1008.0
157.65624325255354,0.0,1008.0
158.03124795874393,0.0,1008.0
158.4062526649343,0.0,1008.0
158.78124371074634,0.0,1008.0
159.14062094411574,0.0,1008.0
159.5156256503061,0.0,1008.0
159.89061669611814,0.0,1008.0
160.26562140230854,0.0,1008.0
160.6406261084989,0.0,1008.0
161.0000033418683,0.0,1008.0
161.37499438768035,0.0,1008.0
161.7499990938707,0.0,1008.0
162.1250038000611,0.0,1008.0
162.49999484587315,0.0,1008.0
162.84374460642155,0.0,1008.0
163.20312183979092,0.0,1008.0
163.57812654598132,0.0,1008.0
163.95311759179336,0.0,1008.0
164.32812229798373,0.0,1008.0
164.70312700417412,0.0,1008.0
165.07811804998616,0.0,1008.0
165.45312275617653,0.0,1008.0
165.82812746236692,0.0,1008.0
166.20311850817896,0.0,1008.0
166.57812321436933,0.0,1008.0
166.68750186373794,0.7110000252723694,1008.0
166.95312792055972,0.0,1008.0
167.07812038237094,0.703000009059906,1008.0
167.32811896637176,0.0,1008.0
167.46875256138233,0.6959999799728394,1008.0
167.70312367256213,0.0,1008.0
167.87499855283633,0.6869999766349792,1008.0
168.07812837875252,0.0,1008.0
168.28124454429036,0.675000011920929,1008.0
168.45311942456456,0.0,1008.0
168.6874905357444,0.6600000262260437,1008.0
168.82812413075493,0.0,1008.0
169.09375018757675,0.6489999890327454,1008.0
169.20312883694533,0.0,1008.0
169.49999617903075,0.640999972820282,1008.0
169.57811988275736,0.0,1008.0
169.89062835804214,0.6359999775886536,1008.0
169.95312458894773,0.0,1008.0
170.28124687667514,0.6299999952316284,1008.0
170.31250182231713,0.0,1008.0
170.67186539530817,0.6259999871253967,1008.0
170.68749286812917,0.0,1008.0
171.04687010149857,0.6230000257492065,1008.0
171.06249757431954,0.0,1008.0
171.43750228050993,0.0,1008.0
171.43750228050993,0.6200000047683716,1008.0
171.81249332632197,0.0,1008.0
171.85937574478493,0.6169999837875366,1008.0
172.18749803251234,0.0,1008.0
172.21875297815433,0.6159999966621399,1008.0
172.56250273870273,0.0,1008.0
172.59374402396637,0.6140000224113464,1008.0
172.95312125733577,0.6140000224113464,1008.0
173.34375343634713,0.6129999756813049,1008.0
173.68750319689553,0.6140000224113464,1008.0
174.06249424270757,0.6140000224113464,1008.0
174.42187147607697,0.6159999966621399,1008.0
174.79687618226734,0.6169999837875366,1008.0
175.15625341563674,0.6200000047683716,1008.0
175.50000317618515,0.6230000257492065,1008.0
175.87499422199718,0.6259999871253967,1008.0
176.21874398254556,0.6299999952316284,1008.0
176.57812121591496,0.6349999904632568,1008.0
176.92187097646337,0.640999972820282,1008.0
177.28124820983277,0.6480000019073486,1008.0
177.62499797038117,0.656000018119812,1008.0
177.96874773092955,0.6639999747276306,1008.0
178.31249749147796,0.6729999780654907,1008.0
178.64061977920537,0.6830000281333923,1008.0
178.98436953975377,0.6959999799728394,1008.0
179.29687801503854,0.7129999995231628,1008.0
179.64062777558695,0.7279999852180481,1008.0
180.04687740950664,0.7120000123977661,1008.0
180.43749592813967,0.7039999961853027,1008.0
180.82812810715103,0.6980000138282776,1008.0
181.20311915296307,0.6909999847412109,1008.0
181.59375133197446,0.6859999895095825,1008.0
181.96875603816483,0.6809999942779541,1008.0
182.34374708397687,0.6769999861717224,1008.0
182.71875179016726,0.671999990940094,1008.0
183.10937030880027,0.6690000295639038,1008.0
183.48437501499066,0.6650000214576721,1008.0
183.85937972118103,0.6629999876022339,1008.0
184.23437076699307,0.6600000262260437,1008.0
184.60937547318346,0.6579999923706055,1008.0
184.98438017937383,0.656000018119812,1008.0
185.3437437523649,0.6549999713897705,1008.0
185.71874845855527,0.6539999842643738,1008.0
186.09375316474566,0.6539999842643738,1008.0
186.49999915619966,0.6539999842643738,1008.0
186.85937638956906,0.6549999713897705,1008.0
187.23438109575943,0.656000018119812,1008.0
187.5937446687505,0.6570000052452087,1008.0
187.96874937494087,0.6589999794960022,1008.0
188.32812660831027,0.6620000004768372,1008.0
188.67187636885868,0.6650000214576721,1008.0
189.04688107504904,0.6679999828338623,1008.0
189.39063083559745,0.6740000247955322,1008.0
189.7499944085885,0.6800000071525574,1008.0
190.1093716419579,0.6869999766349792,1008.0
190.4374939296853,0.6959999799728394,1008.0
190.7812436902337,0.7080000042915344,1008.0
191.14062092360308,0.7179999947547913,1008.0
191.46875687170885,0.7289999723434448,1008.0
191.81250663225725,0.7429999709129333,1008.0
192.14062891998466,0.7599999904632568,1008.0
198.87500419632048,0.0,1008.0
199.2499952421325,0.0,1008.0
199.6093724755019,0.0,1008.0
199.98437718169228,0.0,1008.0
200.34375441506168,0.0,1008.0
200.71874546087372,0.0,1008.0
201.0937501670641,0.0,1008.0
201.4531274004335,0.0,1008.0
201.82811844624553,0.0,1008.0
202.2031231524359,0.0,1008.0
202.5625003858053,0.0,1008.0
202.9375050919957,0.0,1008.0
203.29686866498673,0.0,1008.0
203.6718733711771,0.0,1008.0
204.0468780773675,0.0,1008.0
204.40625531073687,0.0,1008.0
204.7812463565489,0.0,1008.0
205.1406235899183,0.0,1008.0
205.5156282961087,0.0,1008.0
205.89061934192074,0.0,1008.0
206.2499965752901,0.0,1008.0
206.6250012814805,0.0,1008.0
207.00000598767087,0.0,1008.0
207.4062519791249,0.0,1008.0
207.76562921249428,0.0,1008.0
208.14062025830634,0.0,1008.0
208.4999974916757,0.0,1008.0
208.8750021978661,0.0,1008.0
209.23437943123548,0.0,1008.0
209.60937047704752,0.0,1008.0
209.96874771041692,0.0,1008.0
210.34375241660732,0.0,1008.0
210.71874346241935,0.0,1008.0
211.07812069578873,0.0,1008.0
211.45312540197912,0.0,1008.0
211.8125026353485,0.0,1008.0
212.18749368116053,0.0,1008.0
212.54687091452993,0.0,1008.0
212.92187562072033,0.0,1008.0
213.2968803269107,0.0,1008.0
213.65624389990174,0.0,1008.0
214.03124860609213,0.0,1008.0
214.3906258394615,0.0,1008.0
214.7656305456519,0.0,1008.0
215.12499411864295,0.0,1008.0
215.49999882483334,0.0,1008.0
215.8593760582027,0.0,1008.0
216.2343807643931,0.0,1008.0
216.60937181020515,0.0,1008.0
216.96874904357452,0.0,1008.0
217.34375374976491,0.0,1008.0
217.70313098313432,0.0,1008.0
218.07812202894635,0.0,1008.0
218.43749926231573,0.0,1008.0
218.81250396850612,0.0,1008.0
219.18749501431816,0.0,1008.0
219.54687224768753,0.0,1008.0
219.92187695387793,0.0,1008.0
220.28125418724733,0.0,1008.0
220.65624523305937,0.0,1008.0
221.01562246642874,0.0,1008.0
221.39062717261913,0.0,1008.0
221.76561821843117,0.0,1008.0
222.18750534308452,0.0,1008.0
222.54686891607557,0.0,1008.0
222.90624614944497,0.0,1008.0
223.28125085563534,0.0,1008.0
223.64062808900474,0.0,1008.0
224.01561913481677,0.0,1008.0
224.37499636818615,0.0,1008.0
224.75000107437654,0.0,1008.0
