Angle,Range,Intensity
135.3906188602557,0.0,1008.0
135.7499960936251,0.0,1008.0
136.12500079981547,0.0,1008.0
136.46875056036387,0.0,1008.0
136.8437416061759,0.0,1008.0
137.21874631236628,0.0,1008.0
137.56249607291468,0.0,1008.0
137.93750077910508,0.0,1008.0
138.29687801247445,0.0,1008.0
138.4999941780123,0.0,1008.0
138.65624158546552,0.0,1008.0
138.87499888420268,0.0,1008.0
139.0312462916559,0.0,1008.0
139.3906235250253,0.0,1008.0
139.60936716338412,0.0,1008.0
139.75000075839466,0.0,1008.0
140.10937799176406,0.0,1008.0
140.4687415647551,0.0,1008.0
140.8281187981245,0.0,1008.0
141.20312350431487,0.0,1008.0
141.54687326486328,0.0,1008.0
141.82812679450606,0.0,1008.0
141.92187797105368,0.0,1008.0
142.2031178403181,0.0,1008.0
142.2968690168657,0.0,1008.0
142.65624625023509,0.0,1008.0
143.39062818979488,0.0,1008.0
143.74999176278592,0.0,1008.0
144.1249964689763,0.0,1008.0
144.51562864798768,0.0,1008.0
144.92187463944168,0.0,1008.0
145.28125187281108,0.0,1008.0
145.65624291862312,0.0,1008.0
146.0312476248135,0.0,1008.0
146.3906248581829,0.0,1008.0
146.78124337681592,0.0,1008.0
147.1562480830063,0.0,1008.0
147.53125278919669,0.0,1008.0
147.89061636218773,0.0,1008.0
148.26562106837812,0.0,1008.0
148.6406257745685,0.0,1008.0
149.01561682038053,0.0,1008.0
149.39062152657092,0.0,1008.0
149.7656262327613,0.0,1008.0
150.14061727857333,0.0,1008.0
150.32811963166853,0.0,1008.0
150.5156219847637,0.0,1008.0
150.8749992181331,0.0,1008.0
151.2500039243235,0.0,1008.0
151.62499497013553,0.0,1008.0
151.9999996763259,0.0,1008.0
152.37499072213794,0.0,1008.0
152.74999542832833,0.0,1008.0
153.1250001345187,0.0,1008.0
153.49999118033074,0.0,1008.0
153.85936841370014,0.0,1008.0
154.2500005927115,0.0,1008.0
154.6093778260809,0.0,1008.0
154.98436887189294,0.0,1008.0
155.3437461052623,0.0,1008.0
155.7343782842737,0.0,1008.0
156.09374185726475,0.0,1008.0
156.45311909063415,0.0,1008.0
156.79686885118252,0.0,1008.0
157.17187355737292,0.0,1008.0
157.53125079074232,0.0,1008.0
157.8906280241117,0.0,1008.0
158.2343777846601,0.0,1008.0
159.59374935403272,0.9769999980926514,1008.0
159.9687540602231,0.9750000238418579,1008.0
160.3125038207715,0.9679999947547913,1008.0
160.67186739376254,0.9769999980926514,1008.0
161.06249957277393,0.9610000252723694,1008.0
161.40624933332234,0.9760000109672546,1008.0
161.7499990938707,0.9919999837875366,1008.0
162.1093763272401,0.9980000257492065,1008.0
162.4687535606095,1.003999948501587,1008.0
162.81250332115792,1.034000039100647,1008.0
163.14062560888533,1.0609999895095825,1008.0
163.5000028422547,1.0800000429153442,1008.0
164.1875023633515,0.0,1008.0
164.53125212389992,0.0,1008.0
165.4062539980919,1.0169999599456787,1008.0
165.78124504390394,1.0110000371932983,1008.0
165.93749245135717,0.0,1008.0
166.15624975009433,1.0099999904632568,1008.0
166.51562698346373,1.0080000162124634,1008.0
166.89061802927577,1.00600004196167,1008.0
167.24999526264514,1.0049999952316284,1008.0
167.62499996883554,1.003999948501587,1008.0
167.99999101464758,1.003000020980835,1008.0
168.35936824801695,1.003999948501587,1008.0
168.75000042702834,1.0019999742507935,1008.0
169.09375018757675,1.0049999952316284,1008.0
169.46874123338878,1.0069999694824219,1008.0
169.82811846675816,1.0080000162124634,1008.0
170.20312317294855,1.0119999647140503,1008.0
170.57812787913892,1.0149999856948853,1008.0
170.70312034095016,0.0,1008.0
170.92187763968732,1.0169999599456787,1008.0
171.29686868549936,1.0219999551773071,1008.0
171.65624591886876,1.0260000228881836,1008.0
171.81249332632197,0.0,1008.0
172.01562315223813,1.0299999713897705,1008.0
172.37500038560754,1.0360000133514404,1008.0
172.73437761897694,1.0429999828338623,1008.0
173.10936866478897,1.0509999990463257,1008.0
173.43749095251638,1.0579999685287476,1008.0
173.79686818588578,1.065000057220459,1008.0
174.18750036489715,1.0449999570846558,1008.0
174.59374635635118,1.0230000019073486,1008.0
174.96875106254154,1.0080000162124634,1008.0
175.35936958117458,0.9909999966621399,1008.0
175.75000176018594,0.9779999852180481,1008.0
176.14062027881897,0.9589999914169312,1008.0
176.56249374309397,0.9229999780654907,1008.0
177.40624067164399,0.8560000061988831,1008.0
177.79687285065535,0.843999981880188,1008.0
178.18749136928838,0.8370000123977661,1008.0
178.56249607547878,0.8320000171661377,1008.0
178.93750078166914,0.8289999961853027,1008.0
179.31249182748118,0.824999988079071,1008.0
179.68749653367158,0.8230000138282776,1008.0
180.06250488232763,0.8240000009536743,1008.0
180.43749592813967,0.8209999799728394,1008.0
180.79687316150907,0.8209999799728394,1008.0
181.17187786769944,0.8220000267028809,1008.0
181.54686891351147,0.8230000138282776,1008.0
181.89063233443824,0.8259999752044678,1008.0
182.26562338025028,0.8259999752044678,1008.0
182.64062808644064,0.8259999752044678,1008.0
182.98437784698905,0.8360000252723694,1008.0
183.3593688928011,0.8339999914169312,1008.0
183.59375366435924,0.0,1008.0
183.75000107181245,0.8299999833106995,1008.0
184.10937830518185,0.8299999833106995,1008.0
184.4843693509939,0.8309999704360962,1008.0
184.85937405718425,0.8299999833106995,1008.0
185.23437876337465,0.8230000138282776,1008.0
185.6093698091867,0.8190000057220459,1008.0
185.98437451537706,0.8180000185966492,1008.0
186.35937922156745,0.8140000104904175,1008.0
186.7343702673795,0.8130000233650208,1008.0
187.10937497356986,0.8090000152587891,1008.0
187.48437967976025,0.8069999814033508,1008.0
187.8593707255723,0.8059999942779541,1008.0
188.23437543176266,0.8040000200271606,1008.0
188.65624889603768,0.800000011920929,1008.0
189.01562612940705,0.8029999732971191,1008.0
189.39063083559745,0.8040000200271606,1008.0
189.7656218814095,0.8050000071525574,1008.0
190.1093716419579,0.8090000152587891,1008.0
190.48437634814826,0.8130000233650208,1008.0
197.32813027385265,0.0,1008.0
197.68749384684372,0.0,1008.0
198.0624985530341,0.0,1008.0
198.43750325922448,0.0,1008.0
198.79688049259386,0.0,1008.0
199.1718715384059,0.0,1008.0
199.5468762445963,0.0,1008.0
199.90625347796566,0.0,1008.0
200.28124452377773,0.0,1008.0
200.6562492299681,0.0,1008.0
201.0156264633375,0.0,1008.0
201.39063116952786,0.0,1008.0
201.7656222153399,0.0,1008.0
202.1249994487093,0.0,1008.0
202.50000415489967,0.0,1008.0
202.8749952007117,0.0,1008.0
203.2343724340811,0.0,1008.0
203.60937714027148,0.0,1008.0
203.98438184646187,0.0,1008.0
204.34374541945292,0.0,1008.0
204.7187501256433,0.0,1008.0
205.09375483183368,0.0,1008.0
205.45311840482472,0.0,1008.0
205.82812311101512,0.0,1008.0
206.20312781720548,0.0,1008.0
206.56250505057488,0.0,1008.0
206.93749609638692,0.0,1008.0
207.3125008025773,0.0,1008.0
207.6718780359467,0.0,1008.0
208.04686908175873,0.0,1008.0
208.42187378794912,0.0,1008.0
208.7812510213185,0.0,1008.0
209.1562557275089,0.0,1008.0
209.53124677332093,0.0,1008.0
209.9375064251533,0.0,1008.0
210.29686999814433,0.0,1008.0
210.67187470433473,0.0,1008.0
211.0312519377041,0.0,1008.0
211.4062566438945,0.0,1008.0
211.76562021688554,0.0,1008.0
212.1406249230759,0.0,1008.0
212.5000021564453,0.0,1008.0
212.87499320225734,0.0,1008.0
213.24999790844774,0.0,1008.0
213.6093751418171,0.0,1008.0
213.9843798480075,0.0,1008.0
214.34374342099855,0.0,1008.0
214.71874812718892,0.0,1008.0
215.07812536055832,0.0,1008.0
215.4531300667487,0.0,1008.0
215.82812111256075,0.0,1008.0
216.18749834593012,0.0,1008.0
216.56250305212052,0.0,1008.0
216.9218802854899,0.0,1008.0
217.29687133130193,0.0,1008.0
217.65624856467133,0.0,1008.0
218.03125327086173,0.0,1008.0
218.3906305042311,0.0,1008.0
218.76562155004314,0.0,1008.0
219.14062625623353,0.0,1008.0
219.5000034896029,0.0,1008.0
219.87499453541494,0.0,1008.0
220.23437176878434,0.0,1008.0
220.60937647497474,0.0,1008.0
220.9687537083441,0.0,1008.0
221.34374475415615,0.0,1008.0
221.71874946034654,0.0,1008.0
222.07812669371592,0.0,1008.0
222.4531313999063,0.0,1008.0
222.81249497289735,0.0,1008.0
223.18749967908775,0.0,1008.0
223.54687691245712,0.0,1008.0
223.92188161864752,0.0,1008.0
224.29687266445956,0.0,1008.0
224.70311865591356,0.0,1008.0
