Angle,Range,Intensity
135.34375010217107,0.0,1008.0
135.7187411479831,0.0,1008.0
136.3593719109953,0.0,1008.0
136.46875056036387,0.0,1008.0
136.73437661718566,0.0,1008.0
136.82812779373324,0.0,1008.0
137.1093676629977,0.0,1008.0
137.18749136672432,0.0,1008.0
137.4687448963671,0.0,1008.0
137.84374960255747,0.0,1008.0
138.18749936310587,0.0,1008.0
138.20312683592687,0.0,1008.0
138.54687659647527,0.0,1008.0
138.5781178817389,0.0,1008.0
138.9218676422873,0.0,1008.0
138.9374951151083,0.0,1008.0
139.31249982129867,0.0,1008.0
139.31249982129867,0.0,1008.0
139.65624958184708,0.0,1008.0
139.67187705466807,0.0,1008.0
140.01562681521648,0.0,1008.0
140.0468681004801,0.0,1008.0
140.39061786102852,0.0,1008.0
140.7499950943979,0.0,1008.0
140.78125004003988,0.0,1008.0
141.14062727340928,0.0,1008.0
141.14062727340928,0.0,1008.0
141.49999084640032,0.0,1008.0
141.51561831922132,0.0,1008.0
141.8749955525907,0.0,1008.0
141.89062302541168,0.0,1008.0
142.2343727859601,0.0,1008.0
142.25000025878109,0.0,1008.0
142.60937749215046,0.0,1008.0
142.62499130459312,0.0,1008.0
142.9999960107835,0.0,1008.0
143.3593732441529,0.0,1008.0
143.7187504775223,0.0,1008.0
143.73437795034326,0.0,1008.0
144.09374152333433,0.0,1008.0
144.4687462295247,0.0,1008.0
144.8281234628941,0.0,1008.0
145.1875006962635,0.0,1008.0
145.21874198152713,0.0,1008.0
145.5937466877175,0.0,1008.0
145.9531239210869,0.0,1008.0
146.31250115445627,0.0,1008.0
146.68749220026834,0.0,1008.0
147.0624969064587,0.0,1008.0
147.4218741398281,0.0,1008.0
147.81249265846114,0.0,1008.0
148.1718698918305,0.0,1008.0
148.5468745980209,0.0,1008.0
148.92186564383294,0.0,1008.0
149.28124287720232,0.0,1008.0
149.6718750562137,0.0,1008.0
150.03125228958308,0.0,1008.0
150.40624333539512,0.0,1008.0
150.76562056876452,0.0,1008.0
151.14062527495489,0.0,1008.0
151.5000025083243,0.0,1008.0
151.85936608131533,0.0,1008.0
152.21874331468473,0.0,1008.0
152.57812054805413,0.0,1008.0
152.9374977814235,0.0,1008.0
153.2968750147929,0.0,1008.0
153.6562522481623,0.0,1008.0
154.01561582115335,0.0,1008.0
154.35936558170175,0.0,1008.0
154.7031290026285,0.0,1008.0
155.07812004844052,0.0,1008.0
155.42186980898893,0.0,1008.0
155.7968745151793,0.0,1008.0
157.56249207600595,0.7559999823570251,1008.0
157.92186930937532,0.7609999775886536,1008.0
158.28124654274473,0.765999972820282,1008.0
158.64062377611413,0.7699999809265137,1008.0
159.0156284823045,0.7720000147819519,1008.0
159.37499205529556,0.7749999761581421,1008.0
159.73436928866494,0.777999997138977,1008.0
160.10937399485533,0.781000018119812,1008.0
160.4531237554037,0.7839999794960022,1008.0
160.8281284615941,0.7870000004768372,1008.0
161.18749203458515,0.7910000085830688,1008.0
161.54686926795455,0.7940000295639038,1008.0
161.92187397414492,0.796999990940094,1008.0
162.28125120751432,0.7990000247955322,1008.0
162.64062844088372,0.8029999732971191,1008.0
162.99999201387476,0.8050000071525574,1008.0
163.37499672006513,0.8069999814033508,1008.0
163.56249907316032,0.0,1008.0
163.73437395343453,0.8100000023841858,1008.0
164.07812371398293,0.8159999847412109,1008.0
164.4531284201733,0.8190000057220459,1008.0
164.82811946598534,0.8220000267028809,1008.0
165.20312417217573,0.8140000104904175,1008.0
165.5781288783661,0.8140000104904175,1008.0
165.9062511660935,0.824999988079071,1008.0
166.28124221190555,0.8289999961853027,1008.0
166.65624691809595,0.8320000171661377,1008.0
167.01562415146535,0.8320000171661377,1008.0
167.37500138483472,0.8370000123977661,1008.0
167.73437861820412,0.8399999737739563,1008.0
168.09374219119516,0.843999981880188,1008.0
168.46874689738556,0.847000002861023,1008.0
168.81249665793396,0.8529999852180481,1008.0
169.18750136412433,0.859000027179718,1008.0
169.57811988275736,0.8489999771118164,1008.0
169.93749711612674,0.8339999914169312,1008.0
170.31250182231713,0.8270000219345093,1008.0
170.70312034095016,0.8240000009536743,1008.0
171.06249757431954,0.8230000138282776,1008.0
171.43750228050993,0.8209999799728394,1008.0
171.79686585350098,0.8190000057220459,1008.0
